Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
8,209100,55769265,14878324095,22370130,5965962660,693856402036,2451778590,653804554140,-39843874508
8,196350,30539820,4753909920,17603160,2739299760,426604279290,1624586640,252911736660,-293798754
8,195330,30385290,4730584560,17541195,2730101655,425249786865,1619691405,252203007765,-2747132821
8,197625,30774165,4796326365,17762790,2767395915,431517191145,1640071770,255627078915,-8002591411
8,199410,31101330,4855230600,17983620,2805585735,438084787545,1664943450,259798794255,3658080049
8,204255,31880100,4980349920,18482910,2885128140,450755605710,1719471630,268420376640,5471427062
8,200175,31297170,4897501950,18024930,2818217160,441000422610,1668144210,260804200350,-7230979988
8,203745,31871175,4989787215,18348780,2870013780,449286155460,1699808580,265841483610,8402090374
8,210885,32981700,5162542830,19052835,2978971965,466150772985,1772808705,277094603265,-443018787
8,191250,41699895,9096681555,16097640,3510362385,765864937815,1393677510,303923826465,7243392163
8,191250,41665980,9081858150,16079280,3503278485,763644688005,1390390560,302928056565,8013824493
8,192270,41874825,9124507155,16142265,3515724270,766082936550,1394191845,303634036050,15316166390
8,199155,43334445,9433880805,16747890,3643817400,793166242260,1450799040,315601090170,14524568026
8,199920,43481325,9461302995,16782060,3649730340,794096320590,1452293850,315804448590,4215098560
8,207315,45022290,9781999920,17573325,3815571630,828826027230,1537312125,333702925110,-5062932734
8,217515,47149755,10225147845,18512490,4011423615,869615893785,1629326070,352913077005,-6297149477
8,224910,48660375,10532613075,19335375,4181340315,904622494725,1722311565,372266134215,-4198536623
8,224910,48576225,10496502525,19267800,4158987015,898144184025,1709932590,368858177025,5782640947
8,218790,47131905,10157914545,18841950,4056241140,873619059480,1682129430,361868774160,5992420668
8,199155,54147975,14725851435,21034695,5719692330,516274352788,2273144715,618156660840,-12340480846
8,192525,52286220,14203331190,20334975,5523159495,512642813395,2197082805,596791474875,-1710099117
8,192270,52147755,14147138625,20129190,5460257625,579572390055,2154880560,584595291525,-7292201301
8,189975,51496995,13963078095,19895355,5393810745,577923083209,2128802985,577185071595,-19766093445
8,194055,52520820,14218593960,20411985,5525413695,581270673477,2194442535,594084360705,-20469938061
